Date,Close
2023-04-25,218.6300048828125
2023-04-26,216.19000244140625
2023-04-27,214.3300018310547
2023-04-28,218.8000030517578
2023-05-01,217.27000427246094
2023-05-02,215.14999389648438
2023-05-03,215.63999938964844
2023-05-04,210.3800048828125
2023-05-05,215.08999633789062
2023-05-08,214.7899932861328
2023-05-09,213.49000549316406
2023-05-10,213.1699981689453
2023-05-11,210.02999877929688
2023-05-12,209.5399932861328
2023-05-15,211.2899932861328
2023-05-16,207.1999969482422
2023-05-17,212.10000610351562
2023-05-18,214.72000122070312
2023-05-19,214.77999877929688
2023-05-22,214.25999450683594
2023-05-23,212.7100067138672
2023-05-24,209.6999969482422
2023-05-25,209.97999572753906
2023-05-26,211.8000030517578
2023-05-30,209.89999389648438
2023-05-31,205.75
2023-06-01,209.07000732421875
2023-06-02,226.6300048828125
2023-06-05,222.47000122070312
2023-06-06,226.67999267578125
2023-06-07,235.5500030517578
2023-06-08,234.4499969482422
2023-06-09,235.02999877929688
2023-06-12,237.89999389648438
2023-06-13,245.44000244140625
2023-06-14,243.32000732421875
2023-06-15,247.6699981689453
2023-06-16,245.27000427246094
2023-06-20,241.14999389648438
2023-06-21,241.47999572753906
2023-06-22,237.33999633789062
2023-06-23,234.44000244140625
2023-06-26,236.9499969482422
2023-06-27,240.69000244140625
2023-06-28,241.8699951171875
2023-06-29,244.24000549316406
2023-06-30,246.0500030517578
2023-07-03,247.3300018310547
2023-07-05,244.8300018310547
2023-07-06,240.5800018310547
2023-07-07,245.17999267578125
2023-07-10,248.80999755859375
2023-07-11,252.85000610351562
2023-07-12,253.60000610351562
2023-07-13,255.86000061035156
2023-07-14,255.6199951171875
2023-07-17,257.4599914550781
2023-07-18,263.80999755859375
2023-07-19,262.75
2023-07-20,261.0899963378906
2023-07-21,257.6499938964844
2023-07-24,259.3699951171875
2023-07-25,262.05999755859375
2023-07-26,258.32000732421875
2023-07-27,258.29998779296875
2023-07-28,260.42999267578125
2023-07-31,265.1700134277344
2023-08-01,288.6499938964844
2023-08-02,287.57000732421875
2023-08-03,281.45001220703125
2023-08-04,276.44000244140625
2023-08-07,281.6499938964844
2023-08-08,282.8900146484375
2023-08-09,284.5299987792969
2023-08-10,283.82000732421875
2023-08-11,285.2200012207031
2023-08-14,284.5400085449219
2023-08-15,277.3699951171875
2023-08-16,274.510009765625
2023-08-17,275.1700134277344
2023-08-18,273.79998779296875
2023-08-21,272.75
2023-08-22,270.20001220703125
2023-08-23,273.0299987792969
2023-08-24,269.29998779296875
2023-08-25,272.55999755859375
2023-08-28,274.7900085449219
2023-08-29,280.0299987792969
2023-08-30,282.3299865722656
2023-08-31,281.1300048828125
2023-09-01,286.25
2023-09-05,281.6300048828125
2023-09-06,282.8999938964844
2023-09-07,281.42999267578125
2023-09-08,282.2799987792969
2023-09-11,282.04998779296875
2023-09-12,281.80999755859375
2023-09-13,275.9200134277344
2023-09-14,282.55999755859375
