Date,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,DOW,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WBA,WMT
2023-05-08,172.57882690429688,226.98583984375,150.9361114501953,197.25999450683594,210.883544921875,197.64181518554688,44.94173049926758,153.23233032226562,102.635498046875,51.359458923339844,316.50274658203125,280.48577880859375,192.65687561035156,117.93016815185547,30.346641540527344,157.4671630859375,133.53082275390625,61.94486999511719,290.1460266113281,79.4422836303711,115.2275161743164,306.137451171875,125.17085266113281,151.41949462890625,178.602783203125,485.1296081542969,230.42196655273438,35.21429443359375,29.59058380126953,50.36709213256836
2023-05-09,170.85801696777344,226.802001953125,151.27145385742188,201.8800048828125,209.60719299316406,200.91754150390625,45.067806243896484,152.7906494140625,101.84806823730469,50.90419387817383,314.8160400390625,283.0672607421875,192.8329620361328,117.37800598144531,29.68585968017578,156.24476623535156,132.88784790039062,61.43124771118164,290.11669921875,78.2468490600586,114.30281066894531,304.5008544921875,123.41482543945312,149.86923217773438,179.75714111328125,482.9236755371094,231.44393920898438,34.97227478027344,29.384967803955078,50.45283889770508
2023-05-10,172.6385040283203,226.49244689941406,146.6360626220703,200.83999633789062,209.29302978515625,204.582763671875,45.30056381225586,150.84140014648438,100.81144714355469,50.695533752441406,312.6640930175781,281.5573425292969,193.0383758544922,118.20140075683594,29.557647705078125,156.82684326171875,132.95603942871094,61.5378532409668,290.0286560058594,78.32447052001953,114.76029968261719,309.7676086425781,121.84624481201172,150.18121337890625,179.17994689941406,482.618408203125,229.4694366455078,35.02812576293945,29.52515983581543,50.3110237121582
2023-05-11,172.8275146484375,224.7316436767578,145.95558166503906,201.83999633789062,206.2101287841797,203.20455932617188,44.9708251953125,150.0060272216797,92.01012420654297,49.64273452758789,310.89019775390625,280.2519836425781,190.74717712402344,117.116455078125,28.462921142578125,156.18655395507812,132.5371551513672,61.88672637939453,288.2879638671875,78.23131561279297,114.41961669921875,307.5855407714844,120.57362365722656,150.5322265625,178.83755493164062,481.32830810546875,229.6583251953125,35.00019454956055,29.13261604309082,50.49901580810547
2023-05-12,171.89120483398438,225.37017822265625,145.89637756347656,200.6999969482422,205.72903442382812,201.54672241210938,45.30056381225586,150.39007568359375,91.69116973876953,49.61428451538086,309.70758056640625,282.96014404296875,190.3931884765625,118.99574279785156,28.55168342590332,155.98281860351562,130.63751220703125,62.12900161743164,289.608154296875,77.8354263305664,114.02052307128906,306.454833984375,118.59069061279297,152.06300354003906,178.13319396972656,483.7607727050781,230.02618408203125,34.99089431762695,29.039152145385742,50.482521057128906
2023-05-15,171.39317321777344,225.93130493164062,147.93792724609375,202.77000427246094,207.44720458984375,203.0647430419922,45.67879867553711,150.947021484375,92.55834197998047,49.56685256958008,312.1988220214844,281.0799865722656,191.0717010498047,119.49946594238281,29.389984130859375,154.78952026367188,131.73831176757812,61.96425247192383,289.3734130859375,78.0062026977539,113.27104949951172,306.9408264160156,118.21581268310547,152.11175537109375,178.83755493164062,479.45721435546875,231.4477996826172,34.22758865356445,29.4410457611084,50.090057373046875
2023-05-16,171.39317321777344,220.46514892578125,146.3697967529297,200.8699951171875,203.4315948486328,204.2931365966797,45.50423049926758,147.40379333496094,90.68445587158203,48.4286994934082,310.9774169921875,275.0305480957031,188.41668701171875,119.5963363647461,28.81796646118164,154.58578491210938,130.85183715820312,61.266502380371094,287.66204833984375,76.08108520507812,112.98876953125,309.2023010253906,114.91094207763672,151.84849548339844,177.56581115722656,472.42578125,229.12149047851562,33.557369232177734,29.30084991455078,49.39748001098633
2023-05-17,172.01072692871094,219.7522430419922,149.9991912841797,206.8699951171875,208.24249267578125,209.1068572998047,46.19281005859375,149.51629638671875,92.46863555908203,48.82705307006836,320.06024169921875,284.8304748535156,192.7532196044922,121.77592468261719,28.472782135009766,154.24623107910156,134.87518310546875,61.198665618896484,286.98724365234375,77.76556396484375,111.70391845703125,312.1247253417969,115.40421295166016,151.20498657226562,177.7321014404297,477.4383850097656,231.28872680664062,33.678382873535156,29.94574737548828,49.31502914428711
2023-05-18,174.3614501953125,218.980712890625,151.37008666992188,207.24000549316406,210.81483459472656,213.04171752929688,46.745609283447266,149.33206176757812,93.4554214477539,49.196956634521484,319.4786376953125,287.52886962890625,194.94602966308594,122.20216369628906,29.271636962890625,153.75143432617188,135.8980712890625,60.85948181152344,287.5642395019531,78.7567367553711,110.96414947509766,316.6177062988281,117.26875305175781,148.7187042236328,179.3560333251953,471.9432373046875,232.2332000732422,33.631839752197266,29.85086441040039,49.9548454284668
2023-05-19,174.4710235595703,218.189697265625,150.8473663330078,205.49000549316406,210.8737335205078,210.0855712890625,47.647544860839844,150.5150146484375,91.0532455444336,49.27283477783203,316.15374755859375,283.3595275878906,194.06105041503906,123.27742004394531,29.518198013305664,154.1686248779297,135.58633422851562,60.888553619384766,289.0311584472656,78.27458190917969,112.41447448730469,316.4388122558594,113.214111328125,149.3426971435547,179.72779846191406,471.53948974609375,231.9448699951172,33.557369232177734,29.680068969726562,49.44035720825195
