,ticker,look_back,look_front,trainScore,testScore
0,PYPL,1,1,2.2255912874085273,1.9103378840441296
1,PYPL,2,0,3.911836252834397,2.371954511756299
2,PYPL,2,2,2.1333784457411036,1.975852790795136
3,PYPL,4,0,4.024438164713983,2.2572103730750017
4,PYPL,3,3,1.991001427812117,2.194108265666476
5,PYPL,6,0,4.282882688183395,2.3074602840700345
6,ROL,1,1,0.3723041648535601,0.38525252064837545
7,ROL,2,0,0.7686652819305273,0.3964752975424227
8,ROL,2,2,0.45752999159713803,0.4256741214295282
9,ROL,4,0,0.8476214046686965,0.46657067527255636
10,ROL,3,3,0.470466130615782,0.4865167065302876
11,ROL,6,0,0.9375328899891183,0.49306483144764923
12,ROST,1,1,1.3366104647176913,1.5604904444363674
13,ROST,2,0,3.127651105404524,1.6147429596661977
14,ROST,2,2,1.5161782800625134,2.5167010634756593
15,ROST,4,0,3.3090127980728274,2.2261060126884282
16,ROST,3,3,1.9439376639986328,3.140531422380933
17,ROST,6,0,3.632973196160245,2.9660357130490986
18,UNH,1,1,5.110563852055353,7.196961032110802
19,UNH,2,0,8.856192140989641,8.572403317835066
20,UNH,2,2,4.27417899815645,7.728499638926314
21,UNH,4,0,9.669837904643797,9.524293143580074
22,UNH,3,3,5.532668880657654,8.959850471290437
23,UNH,6,0,9.710054937770515,9.552465474700346
24,URI,1,1,4.862635970024119,10.723916708899258
25,URI,2,0,9.88844165126748,10.566196049776211
26,URI,2,2,4.767468369263392,15.80301144755659
27,URI,4,0,10.430943587470672,11.852373223540686
28,URI,3,3,5.794146594817289,17.397728280915633
29,URI,6,0,11.892125164471437,13.643614224022567
30,V,1,1,2.367283583078254,2.5672888861988277
31,V,2,0,4.404370456964604,3.2839827693068284
32,V,2,2,2.7168630137666807,2.682659159288546
33,V,4,0,4.7685132579201825,3.311287081599255
34,V,3,3,2.825836439492208,3.2471525634186427
35,V,6,0,5.037606803590876,3.7683904124570646
36,VRSK,1,1,1.8375153424338833,2.4237366342571347
37,VRSK,2,0,3.778370420386132,2.5778447134404407
38,VRSK,2,2,1.9107063300826292,2.6184119601263784
39,VRSK,4,0,4.526253102100821,2.8332555071442473
40,VRSK,3,3,2.1841520228491125,2.8696761582501042
41,VRSK,6,0,4.603435591909842,2.734944966592367
42,WRK,1,1,0.65406694840181,1.0279583460502586
43,WRK,2,0,1.2202044055619867,1.1892663606018006
44,WRK,2,2,0.6055368957976179,0.9090818631360983
45,WRK,4,0,1.3273924592266737,1.0966407411139059
46,WRK,3,3,0.59308419850529,0.9518439273404464
47,WRK,6,0,1.4665526242433256,1.1032653501181033
48,XOM,1,1,1.0745875955446091,2.0086788899900956
49,XOM,2,0,2.2685466607395517,2.0002433139903433
50,XOM,2,2,1.3649064181521935,2.287937975595908
51,XOM,4,0,2.5764661996090674,2.066704584529906
52,XOM,3,3,1.516414424083372,2.3099258342707363
53,XOM,6,0,2.9359368528292262,2.2725633050414227
54,IVV,1,1,3.249266545637195,4.219708067417674
55,IVV,2,0,7.167208473428274,4.682488337683802
56,IVV,2,2,3.585634024672419,4.737657940062428
57,IVV,4,0,7.56185576018023,5.15873063735541
58,IVV,3,3,4.649104976551961,5.692503853228387
59,IVV,6,0,8.021413267152694,5.399024638484902
