,ticker,look_back,look_front,trainScore,testScore
0,PYPL,1,1,2.2255912874085273,1.9103378840441296
1,PYPL,2,0,3.911836252834397,2.371954511756299
2,PYPL,2,2,2.1333784457411036,1.975852790795136
3,PYPL,4,0,4.024438164713983,2.2572103730750017
4,PYPL,3,3,1.991001427812117,2.194108265666476
5,PYPL,6,0,4.282882688183395,2.3074602840700345
6,ROL,1,1,0.3723041648535601,0.38525252064837545
7,ROL,2,0,0.7686652819305273,0.3964752975424227
8,ROL,2,2,0.45752999159713803,0.4256741214295282
9,ROL,4,0,0.8476214046686965,0.46657067527255636
10,ROL,3,3,0.470466130615782,0.4865167065302876
11,ROL,6,0,0.9375328899891183,0.49306483144764923
12,ROST,1,1,1.3366104647176913,1.5604904444363674
13,ROST,2,0,3.127651105404524,1.6147429596661977
14,ROST,2,2,1.5161782800625134,2.5167010634756593
15,ROST,4,0,3.3090127980728274,2.2261060126884282
16,ROST,3,3,1.9439376639986328,3.140531422380933
17,ROST,6,0,3.632973196160245,2.9660357130490986
18,UNH,1,1,5.110563852055353,7.196961032110802
19,UNH,2,0,8.856192140989641,8.572403317835066
20,UNH,2,2,4.27417899815645,7.728499638926314
21,UNH,4,0,9.669837904643797,9.524293143580074
22,UNH,3,3,5.532668880657654,8.959850471290437
23,UNH,6,0,9.710054937770515,9.552465474700346
24,URI,1,1,4.862635970024119,10.723916708899258
25,URI,2,0,9.88844165126748,10.566196049776211
26,URI,2,2,4.767468369263392,15.80301144755659
27,URI,4,0,10.430943587470672,11.852373223540686
28,URI,3,3,5.794146594817289,17.397728280915633
29,URI,6,0,11.892125164471437,13.643614224022567
30,V,1,1,2.367283583078254,2.5672888861988277
31,V,2,0,4.404370456964604,3.2839827693068284
32,V,2,2,2.7168630137666807,2.682659159288546
33,V,4,0,4.7685132579201825,3.311287081599255
34,V,3,3,2.825836439492208,3.2471525634186427
35,V,6,0,5.037606803590876,3.7683904124570646
36,VRSK,1,1,1.8375153424338833,2.4237366342571347
37,VRSK,2,0,3.778370420386132,2.5778447134404407
38,VRSK,2,2,1.9107063300826292,2.6184119601263784
39,VRSK,4,0,4.526253102100821,2.8332555071442473
40,VRSK,3,3,2.1841520228491125,2.8696761582501042
41,VRSK,6,0,4.603435591909842,2.734944966592367
42,WRK,1,1,0.65406694840181,1.0279583460502586
43,WRK,2,0,1.2202044055619867,1.1892663606018006
44,WRK,2,2,0.6055368957976179,0.9090818631360983
45,WRK,4,0,1.3273924592266737,1.0966407411139059
46,WRK,3,3,0.59308419850529,0.9518439273404464
47,WRK,6,0,1.4665526242433256,1.1032653501181033
48,XOM,1,1,1.0745875955446091,2.0086788899900956
49,XOM,2,0,2.2685466607395517,2.0002433139903433
50,XOM,2,2,1.3649064181521935,2.287937975595908
51,XOM,4,0,2.5764661996090674,2.066704584529906
52,XOM,3,3,1.516414424083372,2.3099258342707363
53,XOM,6,0,2.9359368528292262,2.2725633050414227
54,IVV,1,1,3.249266545637195,4.219708067417674
55,IVV,2,0,7.167208473428274,4.682488337683802
56,IVV,2,2,3.585634024672419,4.737657940062428
57,IVV,4,0,7.56185576018023,5.15873063735541
58,IVV,3,3,4.649104976551961,5.692503853228387
59,IVV,6,0,8.021413267152694,5.399024638484902
60,IWM,1,1,1.5845448762011523,2.377754528267619
61,IWM,2,0,3.6944238886942693,2.6433398336016762
62,IWM,2,2,1.9902148298027056,2.7074960981600613
63,IWM,4,0,3.9963661686484113,2.9968296274347423
64,IWM,3,3,2.364097207860974,3.0919554290585527
65,IWM,6,0,4.003518164129485,3.061121039287494
66,EWU,1,1,0.2889913375337686,0.26020452008560047
67,EWU,2,0,0.5750076358499191,0.3683389709894149
68,EWU,2,2,0.3110744506863165,0.27443347848366406
69,EWU,4,0,0.570709090246026,0.3519408600718159
70,EWU,3,3,0.2973364191629531,0.3097429823048363
71,EWU,6,0,0.5862494152670998,0.3729004256522611
72,EWG,1,1,0.2593058123557936,0.34519029419016206
73,EWG,2,0,0.5687956544347524,0.4420851411904942
74,EWG,2,2,0.33170074969760804,0.398111678610703
75,EWG,4,0,0.6525473819703131,0.5439265995240904
76,EWG,3,3,0.3726203457067532,0.43609321156522957
77,EWG,6,0,0.7101162152288902,0.6211596283337963
78,EWL,1,1,0.37808121069316547,0.42739215250403173
79,EWL,2,0,0.6983629021656986,0.4743918467436057
80,EWL,2,2,0.3879716431166139,0.4477383214103238
81,EWL,4,0,0.8380059227957672,0.5597999224617196
82,EWL,3,3,0.40480938968619484,0.46421805238563607
83,EWL,6,0,0.846254557325791,0.5658228538667875
84,EWQ,1,1,0.30678299667037057,0.39285308929286605
85,EWQ,2,0,0.6698810810403412,0.5338093135015276
86,EWQ,2,2,0.3640691214546041,0.4210106010731453
87,EWQ,4,0,0.7415896924232087,0.5864248452289352
88,EWQ,3,3,0.4058830242888419,0.4853258699264253
89,EWQ,6,0,0.7804487971620148,0.642304272252601
90,IEUS,1,1,0.6352094465175728,0.6571822670056525
91,IEUS,2,0,1.1502300219172794,0.7602252227944277
92,IEUS,2,2,0.6324965002928287,0.7381518884844471
93,IEUS,4,0,1.3312952191107874,0.9381475787529252
94,IEUS,3,3,0.8099375869475686,0.7773909055271793
95,IEUS,6,0,1.5547640509193377,1.1078013097609238
96,EWJ,1,1,0.4373271929529639,0.5711692719116822
97,EWJ,2,0,0.7849129526047046,0.6078958703779793
98,EWJ,2,2,0.45377057004919175,0.6075604888904105
99,EWJ,4,0,0.9097419394729285,0.7173727841659997
100,EWJ,3,3,0.5070782398325773,0.6534566374950121
