,ticker,look_back,look_front,trainScore,testScore
0,ICLN,1,1,0.2546551282912326,0.2927995515322391
1,ICLN,2,0,0.5225603611767085,0.3208890484624808
2,ICLN,2,2,0.27925810591722755,0.3386925515686639
3,ICLN,4,0,0.5787216857570132,0.3548228716059292
4,ICLN,3,3,0.28334596234998916,0.38904355839798566
5,ICLN,6,0,0.6163009710628947,0.3747410921107586
6,IXN,1,1,0.548471504686564,0.7603719161416898
7,IXN,2,0,1.1622883655784169,0.8672379918369899
8,IXN,2,2,0.7038659904557831,0.8768117869954232
9,IXN,4,0,1.2468553414990218,0.9707349380911698
10,IXN,3,3,0.7515678147205008,0.9852527460075671
11,IXN,6,0,1.3775230898031992,1.1065592540290428
12,IGF,1,1,0.46745241487794176,0.4127162875512226
13,IGF,2,0,0.7809744778167625,0.4719731312172726
14,IGF,2,2,0.3687589969810824,0.46840909020418386
15,IGF,4,0,0.7350497839524978,0.5104751716723854
16,IGF,3,3,0.4163222692042992,0.5167269532743678
17,IGF,6,0,0.8558745857814581,0.5623500194542573
18,IUVL.L,1,1,0.08070546984890101,0.09749079748032474
19,IUVL.L,2,0,0.14349212844325027,0.10837767227466491
20,IUVL.L,2,2,0.06844316264101555,0.11086763926220981
21,IUVL.L,4,0,0.16216025671203582,0.12349827208011749
22,IUVL.L,3,3,0.09166881392409378,0.12149684093293443
23,IUVL.L,6,0,0.16508197172895595,0.12505092449427294
24,IUMO.L,1,1,0.0813350646170165,0.08240039348567266
25,IUMO.L,2,0,0.16918058283305337,0.09106591397109778
26,IUMO.L,2,2,0.08858298867828819,0.09357873500061506
27,IUMO.L,4,0,0.18406231876561335,0.08994078028954822
28,IUMO.L,3,3,0.10470201516504185,0.09650137394739351
29,IUMO.L,6,0,0.20893316187177133,0.09541351784646655
30,SPMV.L,1,1,0.5284512896415404,0.7088928143016955
31,SPMV.L,2,0,1.0054730718490257,0.7481900692021437
32,SPMV.L,2,2,0.619331334731089,0.7729258954288106
33,SPMV.L,4,0,1.1386877576861594,0.7708928757149139
34,SPMV.L,3,3,0.6594890449482256,0.8705028008286249
35,SPMV.L,6,0,1.2266223330484851,0.7470636292079263
36,IEVL.L,1,1,0.05690025553439593,0.06337462096676078
37,IEVL.L,2,0,0.10340836673527129,0.08753462936086187
38,IEVL.L,2,2,0.05266836088533154,0.06552563791042029
39,IEVL.L,4,0,0.11440533608805192,0.0833356814392472
40,IEVL.L,3,3,0.05857668402704433,0.07135340202596778
41,IEVL.L,6,0,0.11982313602401297,0.09354553247846577
42,IEFM.L,1,1,4.729161132876573,4.522960326879177
43,IEFM.L,2,0,9.766444908994059,8.036913063648813
44,IEFM.L,2,2,4.906661735748623,5.177470624925452
45,IEFM.L,4,0,10.293084670763044,7.916077533701444
46,IEFM.L,3,3,4.744299742276372,5.375011629949266
47,IEFM.L,6,0,10.467148114700876,7.870618315133228
48,MVEU.L,1,1,0.3651381610409157,0.3182349479840941
49,MVEU.L,2,0,0.6040367298467155,0.36253834891979453
50,MVEU.L,2,2,0.36153297030955756,0.3594360129062117
51,MVEU.L,4,0,0.6703615465117349,0.4129756351018316
52,MVEU.L,3,3,0.37605365723925166,0.39373750470892316
53,MVEU.L,6,0,0.7656818085623683,0.4483979718248768
54,XLK,1,1,1.4955749086200842,2.1150595406669046
55,XLK,2,0,3.2851799679030673,2.495007897618303
56,XLK,2,2,1.6611597359639478,2.413256809908657
57,XLK,4,0,3.431816805377218,2.6548644393768783
58,XLK,3,3,2.1479999050747867,2.907697814733304
59,XLK,6,0,3.638300916540686,2.8189584860334143
